Title,Link,Market size,Forecasted Market Size/ Revenue,CAGR (%) ,Companies ,Geographies/ Regions covered,Segment 1,Segment 2,Segment 3,Segment 4,Sub-segment 1,Sub-segment 2,Sub-segment 3,Sub-segment 4,Level 1,Level 2,Level 3,Level 4
"Heated Tobacco Products Market Size, Share & Trends Analysis Report By Product (Stick, Leaf), By Distribution Channel (Online, Offline), By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/heated-tobacco-products-htps-market,USD 4.04 billion ,,52.56%,,"North America, Europe, Asia Pacific, Rest of the World",Product ,Distribution Channel ,Regional ,,"Stick, Leaf","Online, Offline","North America, Europe, Asia Pacific, Rest of the World",,,,"The U.S., Canada, Italy, Russia, Japan, South Korea",
"Port Wine Market Size, Share & Trends Analysis Report By Nature (Red, White), By Type (Ruby, Tawny, Vintage), By Distribution Channel (Online, Store-based), By Region (North America, Europe, APAC), And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/port-wine-market,USD 825.68 million ,,4.0%,,"North America, Europe, Asia Pacific, Rest of the world",Nature ,Type ,Distribution Channel ,Regional ,"Red, White","Ruby, Tawny, Vintage","Online, Store-based","North America, Europe, Asia Pacific, Rest of the world",,,,"The U.S., Canada, Spain, U.K., China, South Africa"
"Clove Cigarettes Market Size, Share & Trends Analysis Report By Type (Hand Rolled, Machine Rolled Full Flavored, Machine Rolled Low Tar Nicotine), By End User, By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/clove-cigarettes-market,USD 99.45 billion ,"
USD 135.10 billion
",4.5%,"
Philip Morris International Inc., Gudang Garam, Nojorono Tobacco Indonesia, Japan Tobacco, British American Tobacco, Wismilak Group
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",Type ,User ,Regional ,,"Hand Rolled Clove Cigarette, Machine Rolled Full Flavored Clove Cigarette, Machine Rolled Low Tar Nicotine","Male, Female","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",,,,"The U.S., Russia, Singapore, Indonesia, Malaysia",
"Menthol Cigarette Market Size, Share & Trends Analysis Report By Capsule (Single Capsule, Double Capsule), By End User (Male, Female), By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/menthol-cigarette-market,USD 80.0 billion ,"
USD 99.10 billion
",3.1%,"
Philip Morris International Inc., Imperial Brands plc, Korea Tobacco & Ginseng Corporation, Alfred Dunhill, Ltd., R.J. Reynolds Tobacco Company, British American Tobacco, Commonwealth Brands, Liggett Group, Lorillard Tobacco, Essentra plc
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",Capsule ,User ,Regional ,,"Single Capsule, Double Capsule ","Male, Female","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",,,," The U.S., Russia,  Germany, China,  Indonesia,  Brazil, South Africa",
"Smokeless Tobacco Products Market Size, Share & Trends Analysis Report By Product (Chewing Tobacco, Snuff), By Distribution Channel (Online, Offline), By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/smokeless-tobacco-products-market,USD 13.6 billion ,,7.2%,"
Altria Group, British American Tobacco, Imperial Tobacco Group, Gallaher Group Plc, Universal Corporation, Reynolds Tobacco Company
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,"Chewing Tobacco, Snuff, Others","Online, Offline","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., Canada, Sweden, Norway, India, Algeria, South Africa",
"Organic Tobacco Market Size, Share & Trends Analysis Report By Product (Flue-cured, Sun Cured, Fire Cured), By Application (Smoking, Smokeless), By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/organic-tobacco-market,USD 141.8 million ,,7.4%,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Application ,Regional ,,"Flue-cured, Sun Cured, Fired Cured","Smoking, Smokeless","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., Canada, Mexico, Germany, U.K., Japan, China, India, Brazil, South Africa",
"Cider Market Size, Share & Trends Analysis Report By Product (Sparkling, Still, Apple Wine), By Source (Apple, Fruit Flavored, Perry, Other Vegan Sources), By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/cider-market,USD 4.33 billion ,,3.1%,"
SABMiller Plc, Heineken N.V., Halewood Wines & Spirits, Distell Group Limited, Carlsberg A/S, C&C Group Plc, Aston Manor Brewery, Diageo plc, Thatchers Cider, Kopparbergs Brewery
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",Product ,Source ,Regional ,,"Sparkling, Still, Apple wine, Others","Apple, Fruit flavored, Perry, Other vegan sources","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",,,,"The U.S., U.K., China, India, Australia, Brazil",
"Lager Market Size, Share & Trends Analysis Report By Product (Standard, Premium), By Distribution Channel (On-trade, Off-trade), By Region (North America, Europe, APAC, CSA, MEA), And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/lager-market,USD 366.94 billion ,,,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,"Standard, Premium","On-trade, Off-trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., U.K., Germany, China, Japan, India",
"White Spirits Market Size, Share & Trends Analysis Report By Product (Vodka, Rum, Gin), By Distribution Channel (On-trade, Off-trade), By Region (North America, Europe, APAC, CSA, MEA), And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/white-spirits-market,USD 51.5 billion ,,,"
Diageo plc, Rémy Cointreau, Bacardi Limited, Pernod Ricard, The Brown - Forman, Beam Suntory, Inc., Radico Khaitan, Stock Spirits Group, Hite Jinro Co Ltd, Constellation Brands Inc.
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",Product ,Distribution Channel ,Regional ,,"Vodka, Rum, Gin, Others","On-trade, Off-trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa (MEA)",,,,"The U.S., U.K., China, India, Brazil",
"Cigar & Cigarillos Market Size, Share & Trends Analysis Report By Product (Mass Cigar, Premium Cigar), By Flavor (Tobacco/No Flavor, Flavored), By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/cigar-cigarillos-market,USD 16.99 billion ,"
USD 21.02 billion
",3.1%,"
Altria Group, Inc., Habanos S.A., Scandinavian Tobacco Group A/S, Gurkha Cigars, Swisher International, Inc., Agio Cigars, Swedish Match AB, OETTINGER DAVIDOFF AG, Drew Estate, Trendsettah USA, Inc.
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Flavor ,Regional ,,"Mass, Premium","Tobacco/No Flavor, Flavored","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., Germany, The U.K., Spain, France, China, Australia",
"Whiskey Market Size, Share & Trends Analysis Report By Product (Malt, Wheat, Rye, Corn, Blended), By Quality (Premium, High-end Premium, Super Premium), By Region, And Segment Forecasts, 2019 - 2025",https://www.grandviewresearch.com/industry-analysis/whiskey-market,USD 57.96 billion ,,6.4%,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Quality ,Regional ,,"Malt, Wheat, Rye, Corn, Blended, Others","Premium, High-End Premium, Super Premium","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"The U.S., Canada, U.K., France, Spain, India, Japan, China, Brazil",
"U.S. Wine Market Size, Share & Trends Analysis Report, By Product (Table Wine, Dessert Wine, Sparkling Wine), By Distribution (On-trade, Off-trade), Competitive Landscape, And Segment Forecasts, 2018 - 2025",https://www.grandviewresearch.com/industry-analysis/us-wine-market,USD 61.80 billion ,,,,,Product ,Distribution ,,,"Table Wine, Dessert Wine, Sparkling Wine","On-trade, Off-trade",,,,,,
"U.S. Tobacco Market Size, Share & Trends Analysis Report By Product Type (Cigarettes, Smoking Tobacco, Smokeless Tobacco, Cigars & Cigarillos), Competitive Landscape And Segment Forecasts, 2018 - 2025",https://www.grandviewresearch.com/industry-analysis/us-tobacco-market,USD 100.3 billion ,,,,,Product Type ,,,,"Cigarettes, Smoking Tobacco, Smokeless Tobacco, Cigars & Cigarillos",,,,,,,
"U.S. Beer and Cider Market Size, Share & Trends Analysis Report By Product (Beer, Cider), And Segment Forecasts, 2018 - 2025",https://www.grandviewresearch.com/industry-analysis/us-beer-cider-market,USD 110.46 billion ,,,,,,,,,,,,,,,,
"Craft Spirits Market Size, Share & Trends Analysis Report By Distiller Size (Large, Medium, Small), By Product (Whiskey, Vodka, Gin, Rum, Brandy, Liqueur), By Region, And Segment Forecasts, 2018 - 2025",https://www.grandviewresearch.com/industry-analysis/craft-spirits-market,USD 6.13 billion ,,33.4%,,,,,,,,,,,,,,
"Craft Beer Market Size, Share & Trends Analysis Report By Distribution (On-trade, Off-trade), By Region (North America, Europe, APAC, Central & South America, MEA), By Country (U.S., Germany, Australia, Japan), And Segment Forecasts, 2018 - 2025",https://www.grandviewresearch.com/industry-analysis/craft-beer-market,USD 85.02 billion ,,,,"North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Distribution ,Regional ,,,"On-trade, Off-trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,"U.S., Germany, UK, China, India, Japan, Australia, New Zealand, Brazil, South Africa",,
"Beer Market Analysis By Product (Light, Strong), By Production (Macro, Micro), By Category (Premium, Super Premium, Normal), By Packaging (Canned, Bottled, Draught) And Segment Forecasts To 2022",https://www.grandviewresearch.com/industry-analysis/beer-market,USD 485.2 billion ,,,,,,,,,,,,,,,,
