Title,Link,Market size,Forecasted Market Size/ Revenue,CAGR (%) ,Companies ,Geographies/ Regions covered,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Sub-segment 1,Sub-segment 2,Sub-segment 3,Sub-segment 4,Sub-segment 5,Level 1,Level 2,Level 3,Level 4,Level 5
"Functional Shots Market Size, Share & Trends Analysis Report By Product (Energy, Immunity, Detox), By Distribution Channel (Hypermarkets & Supermarkets, Convenience Stores, Online), By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/functional-shot-market,USD 369.3 million ,"
USD 1,007.9 million
",13.4%,"
Living Essentials Marketing, LLC, EBOOST, Kuli Kuli, Inc., Royal Pacific Foods, PepsiCo, Inc., AriZona Beverages USA, Kudu Energy LLC, Hawaiian OLA, LXR Biotech, LLC, Hardcell LLC
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,,"Energy, Immunity, Detox, Others","Hypermarkets & Supermarkets, Convenience Stores, Online, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., Germany, The U.K., France, China, Japan, India",,
"Spices Market Size, Share & Trends Analysis Report By Product (Pepper, Turmeric), By Form (Powder, Whole, Chopped & Crushed), By Region (North America, Europe, APAC, CSA, MEA), And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/spices-market,USD 5.86 billion ,"
USD 9.70 billion
",6.5%,"
Ajinomoto Co., Inc., Associated British Foods plc, ARIAKE JAPAN CO., LTD., Baria Pepper, Kerry Group, The Bart Ingredients Co. Ltd., DS Group, Everest Spices, Dohler Group, McCormick & Company, Inc.
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Form ,Regional ,,,"Pepper, Ginger, Cinnamon, Cumin, Turmeric, Cardamom, Coriander, Cloves, Others","Powder, Whole, Chopped/Crushed","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"U.S., Germany, France, China, India, Brazil, South Africa",,
"Packaged Cactus Water Market Size, Share & Trends Analysis Report By Product (Plain, Flavored), By Distribution Channel (Offline, Online), By Region (North America, Europe, APAC, Central & South America, MEA), And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/packaged-cactus-water-market,USD 16.72 million ,"
USD 73.7 million
",20.4%,"
Caliwater, LLC, True Nopal Cactus Water, Pricklee LLC, The Cactus Water Co. LLC, STEAZ, EVISSI Natural Cactus Water, Lauro Company
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,,"Plain, Flavored","Offline, Online","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,," The U.S., Germany, The U.K., China, New Zealand, Brazil, UAE",,
"Low GI Rice Market Size, Share & Trends Analysis Report By Distribution Channel (Hypermarket & Supermarket, Online Retail), By Region (North America, Europe, APAC, Central & South America, MEA), And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/low-glycemic-index-rice-market,USD 3.12 billion ,"
USD 4.60 billion
",4.9%,"
Ricegrowers Limited, Nestiva Green LLP, Chaman Lal Setia Exports Ltd., SDLG Radiant Private Limited, Sugar Watchers, First Choice Foods Pvt. Ltd.
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Distribution Channel ,Regional ,,,,"Hypermarket & Supermarket, Online Retail, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., The U.K., Germany, France, Australia, India, Brazil",,,
"Packaged Sunflower Seeds Market Size, Share & Trends Analysis Report By Product (Plain, Salted, Ranch Flavored, BBQ Flavored, Dill Pickle Flavored), By Distribution Channel, By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/packaged-sunflower-seeds-market,USD 1.03 billion ,"
USD 1.76 billion
",6.9%,"
Conagra Brands, Inc., Frito-Lay North America, Inc. (PepsiCo), The Kraft Heinz Company, Sincerely Nuts, Chinook Seedery, Flaper S.A., Waymouth Farms, Inc., Dakota Style Foods, GIANT Snacks Inc., REALFOODSOURCE LTD.
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,,"Plain, Salted, Ranch Flavored, BBQ Flavored, Dill Pickle Flavored, Other Flavored","Offline, Online","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"U.S., Germany, U.K., Spain, China, India, Brazil",,
"Stout Market Size, Share & Trends Analysis Report By Distribution Channel (On-trade, Off-trade), By Region (North America, Europe, APAC, Central & South America, MEA), And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/stout-market,USD 10.64 billion ,"
USD 15.04 billion
",4.4%,"
Carlsberg Breweries A/S, Asahi Group Holdings Ltd., Heineken N.V., Anheuser-Busch InBev SA/NV, Kirin Brewery Co. Ltd., Diageo plc, Molson Coors Beverage Co., The Boston Beer Co. Inc., Stone Brewing Co., Port Brewing Co.
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Distribution Channel ,Regional ,,,,"On-trade, Off-trade","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., The U.K., Germany, Italy, China, Japan, Brazil",,,
"Functional Chewing Gums Market Size, Share & Trends Analysis Report By Product (Smoking Cessation, Oral Health, Fitness & Well Being), By Distribution Channel, By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/functional-chewing-gums-market,USD 1.4 billion ,"
USD 2.83 billion
",8.9%,"
ABOAFSITE SA CV, CAFOSA, GSK group, Gumlink Confectionery Company A/S, LOTTE CONFECTIONERY CO.LTD., Med CBDX, Miradent, Mondelēz International, Peppersmith, Think Products LLC, Rev Gum
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,,"Smoking Cessation Chewing Gums, Oral Health Chewing Gums, Fitness & Well Being Chewing Gums, Others","Hypermarkets & Supermarkets, Convenience Stores, Online, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., Germany, The U.K., France, China, Japan, India",,
"Fruit Snacks Market Size, Share & Trends Analysis Report By Product (Sweet & Savory, Smoothies, Dairy, Cuts & Slices), By Fruit (Mixed, Apple), By Distribution Channel, By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/fruit-snacks-market,USD 4.92 billion ,"
USD 9.93 billion
",9.2%,"
Sunkist Growers Inc., SunOpta, General Mills Inc., Welch's, Kellogg NA Co., PepsiCo, Chaucer Foods Ltd., Crispy Green Inc., Mount Franklin Foods, Nutty Goodness, LLC
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Fruit ,Distribution Channel ,Regional ,,"Sweet & Savory, Smoothies, Dairy, Cuts & Slices","Apple, Mango, Banana, Pineapple, Berries, Mixed, Others","Supermarkets & Hypermarkets, Convenience Stores, Specialty Food Stores, Online Retailers, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., Germany, The U.K., China, Japan, Brazil, South Africa",
"Ketogenic Diet Market Size, Share & Trends Analysis Report By Product (Supplements, Snacks, Beverages), By Distribution Channel (Supermarket/Hypermarket, Specialist Retailers, Online), By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/ketogenic-diet-market,USD 9.57 billion ,"
USD 14.75 billion
",5.5%,"
Ample Foods, Danone S.A., Nestle S.A., Pruvit Ventures, Inc., Keto And Company, Zenwise Health, Perfect Keto, Know Brainer Foods, Bulletproof 360, Inc., Know Brainer Foods
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,,"Supplements, Snacks, Beverages, Others","Supermarket/Hypermarket, Specialist Retailers, Online, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., The U.K., Germany, France, China, India, Brazil",,
"Vegan Cheese Market Size, Share & Trends Analysis Report By Product (Mozzarella, Cheddar, Parmesan, Ricotta, Cream), By Source (Cashew, Soy), By End-use (Household, Foodservice), By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/vegan-cheese-market,USD 1.01 billion ,"
USD 2.66 billion
",12.8%,"
Gardener Cheese Company, Tofutti Brands, Inc., Violife, Dr-Cow Tree Nut Cheese, DAIYA FOODS INC., Kite Hill, Tyne Chease Limited, VTOPIAN ARTISAN CHEESES, Miyoko's Creamery, Parmela Creamery
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Source ,use ,Regional ,,"Mozzarella, Cheddar, Parmesan, Ricotta, Cream, Others","Soy, Almond, Coconut, Cashew, Others","Household, Food Processing, Foodservice","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., Germany, The U.K., France, China, Japan, Brazil",
"Sugar-free Confectionery Market Size, Share & Trends Analysis Report By Product (Sweet & Candy Confectionery, Chocolate Confectionery), By Distribution Channel, By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/sugar-free-confectionery-market,USD 1.88 billion ,"
USD 2.81 billion
",5.1%,"
Abdallah Candies Inc., Asher’s Chocolate Co., Diabetic Candy.com, LLC, Dr. John's Healthy Sweets LLC, LILY'S SWEETS, ROY Chocolatier, Russell Stover Chocolates, LLC, See's Candy Shops, Inc., Sugarless Confectionery, The Hershey Company
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,,"Sweet & Candy Confectionery, Chocolate Confectionery, Others","Hypermarkets & Supermarkets, Convenience & Drug Stores, Online & D2C, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., The U.K., Germany, France, China, Japan, India",,
"Banana Bread Market Size, Share & Trends Analysis Report By Product (Unflavored, Flavored), By Distribution Channel (Hypermarket & Supermarket, Convenience Stores, Online), By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/banana-bread-market,USD 1.07 billion ,"
USD 1.46 billion
",3.9%,"
General Mills, Inc., Banana Bread Co, Mama Ka'z, King Arthur Baking Company, Inc., Papa Joe's`, Bakehouse, Big Banana Bread, Dank Banana Bread, The Essential Baking Company, Simple Mills, Havana Banana Breads
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,,"Unflavored, Flavored","Hypermarket & Supermarket, Convenience Stores, Online, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., The U.K., Germany, France, China, Australia, Brazil",,
"Canned Tuna Market Size, Share & Trends Analysis Report By Product (Skipjack, Yellowfin), By Distribution Channel (Hypermarket & Supermarket, Specialty Stores, Online), By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/canned-tuna-market,USD 8.2 billion ,"
USD 11.89 billion
",4.7%,"
Frinsa del Noroeste S.A., Thai Union Group PCL, Bumble Bee Foods LLC, Century Pacific Food Inc., Jealsa, Grupo Calvo, Wild Planet Foods Inc., PT. Aneka Tuna Indonesia, American Tuna Inc., Ocean Brands
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,,"Skipjack, Yellowfin, Others","Hypermarket & Supermarket, Specialty Stores, Online","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., Italy, Spain, The U.K., Japan, Australia, Saudi Arabia, Egypt",,
"Rice Noodles Market Size, Share & Trends Analysis Report By Product (Stick, Vermicelli), By Cooking Method (Instant, Conventional), By Distribution Channel, By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/rice-noodles-market,USD 3.28 billion ,"
USD 9.51 billion
",14.2%,"
Thai President Foods Public Company Limited, NONGSHIM CO. LTD., TOYO SUISAN KAISHA, LTD., Nasoya Foods USA, LLC, Nona Lim, LLC., McCormick & Company, Inc., Lotus Foods, Inc., Annie Chun’s, Inc., Embridge Foods, Inc., Natural Earth Products, Inc.
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Cooking Method ,Distribution Channel ,Regional ,,"Vermicelli, Stick, Wide, Others","Instant, Conventional","Hypermarkets & Supermarkets, Convenience Stores, Online & D2C","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., Italy, China, Japan, Thailand, Vietnam, Brazil",
"Cocoa Nibs Market Size, Share & Trends Analysis Report By Product (Conventional, Organic), By Application (Commercial, Household), By Region (North America, Europe, APAC, Central & South America, MEA), And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/cocoa-nibs-market,USD 1.08 billion ,"
USD 1.99 billion
",7.9%,"
Barry Callebaut AG, Cocoa Family Farms, United Cocoa Processor, Inc., Navitas Organics, Fine Cocoa Products Corporation, Sunfood, Viva Naturals, NOW Foods, Urban Platter, BMV International
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Application ,Regional ,,,"Conventional, Organic","Commercial, Household","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., The U.K., Germany, France, China, India, Brazil",,
"Packaged Burgers Market Size, Share & Trends Analysis Report By Product (Frozen, Fresh), By Patty (Veg, Non-veg), By Distribution Channel, By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/packaged-burgers-market,USD 3.02 billion ,"
USD 5.58 billion
",8.0%,"
Beyond Meat, BUBBA foods, LLC, Kellogg’s, The Kraft Heinz Company, Nestlé, Paragon Quality Foods, Impossible Foods Inc., Cremonini S.p.A., DR. PRAEGER'S SENSIBLE FOODS, Premium Brands Holdings Corporation
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Patty ,Distribution Channel ,Regional ,,"Frozen, Fresh","Veg, Non-veg","Supermarkets & Hypermarkets, Convenience Stores, Online, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., Germany, The U.K., France, China, Australia, Brazil",
"Organic Tea Market Size, Share & Trends Analysis Report By Product (Camellia Sinensis-based (Green, Black, Oolong, White), Herbal), By Taste, By Form, By Distribution Channel, By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/organic-tea-market,USD 334.6 million ,"
USD 1,122.8 million
",16.2%,"
Compass Tea Company, Davidson's Organics, Little Red Cup, Numi, Inc., Pepsico, The Coca-Cola Company, The Hain Celestial Group, Inc, Tielka, Unilever, Wessanen
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Taste ,Form ,Distribution Channel ,Regional ,"Camelia Sinesis Based, Herbal","Flavored, Plain","Tea Bag, Leaf & Powder, Liquid","Hypermarkets & Supermarkets, Convenience Stores, Online & D2C, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa","White, Black, Green, Oolong, Others",,,,"The U.S., The U.K., Germany, China, Japan, India, Indonesia, Brazil, South Africa"
"Sparkling Water Market Size, Share & Trends Analysis Report By Product (Unflavored, Flavored), By Distribution Channel (Hypermarket & Supermarket, On-trade, Online), By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/sparkling-water-market,USD 24.51 billion ,"
USD 59.67 billion
",11.8%,"
Nestlé S.A., PepsiCo Inc., The Coca-Cola Company, Cott Corporation, Danone S.A., Keurig Dr Pepper, Asahi Group Holdings, Ltd., GEROLSTEINER BRUNNEN GMBH & CO. KG, Rhodius Mineralquellen Und Getranke GmbH & Co KG, National Beverage Corp.
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,,"Unflavored, Flavored","Hypermarket & Supermarket, On-trade, Online, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., The U.K., Germany, France, China, India, Brazil",,
"Pasta Sauce Market Size, Share & Trends Analysis Report By Product (Tomato Based & Marinara, Alfredo & Four Cheese), By Base (Vegetable Based, Meat Based), By Distribution Channel, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/pasta-sauce-market,USD 13.47 billion ,"
USD 17.33 billion
",3.2%,"
Bertolli, International Gourmet Specialties, Mizkan America, Inc., Barilla G. e R. Fratelli S.p.A, CSC Brands LP, No Limit, LLC, Trader Joe’s, Conagra Brands., Del Monte Food, Inc, Frontier Co-op
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Base ,Distribution Channel ,Regional ,,"Tomato-Based & Marinara, Ragù & Bolognese, Pesto, Alfredo & Four Cheese, Others","Vegetable-Based, Meat Based","Hypermarkets & Supermarkets, Convenience Stores, Online & D2C","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., The U.K., Germany, Italy, China, Japan, Brazil",
"Organic Snacks Market Size, Share & Trends Analysis Report By Product (Grain, Nut-based, Meat, Bars, Frozen, Vegetable & Fruit, Bakery), By Distribution Channel, By Region, And Segment Forecasts, 2020 - 2027",https://www.grandviewresearch.com/industry-analysis/organic-snacks-market,USD 7.21 billion ,"
USD 19.29 billion
",13.1%,"
Danone, Hain Celestial Group, General Mills Inc., Made in Nature, Conagra Brands, Inc., Simply Natural LLC, NAVITAS ORGANICS, Frito-Lay, Inc., Hormel Foods Corporation, Kadac Pty Ltd, Woodstock Farms Manufacturing
","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",Product ,Distribution Channel ,Regional ,,,"Grain Snacks, Nut-based Snacks, Meat Snacks, Snack Bars, Frozen Snacks, Vegetable & Fruit Snacks, Bakery Snacks, Others","Supermarkets & Hypermarkets, Convenience Stores, Specialty Food Stores, Online Retailers, Others","North America, Europe, Asia Pacific, Central & South America, Middle East & Africa",,,,,"The U.S., Germany, The U.K., France, China, India, Brazil",,
