,Title,Link,Market size,Forecasted Market Size,CAGR (%),Companies,Geographies/Region,Segments,Sub-segment 1,Sub-segment 2,Sub-segment 3,Sub-segment 4,Sub-segment 5,Sub-segment 6,Sub-segment 7,Sub-segment 8,Sub-segment 9,Sub-segment 10,Sub-segment 11,Sub-segment 12,Sub-segment 13,Sub-segment 14,Sub-segment 15,Sub-segment 16,Sub-segment 17,Sub-segment 18,Sub-segment 19,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Level 8,Level 9,Level 10,Level 11,Level 12,Level 13,Level 14
48,"A2P Messaging Market by Component (Platform and A2P Service), Application (Authentication, Promotional and Marketing, and CRM), Deployment Mode, SMS Traffic (National and Multi-Country), End User, and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/premium-sms-44.html,USD 62.1 billion,USD 72.8 billion,3.2%,"AT&T(US) ,Sinch(Sweden), China Mobile (China), Infobip(UK), Orange (France), Route Mobile (India), Comviva (India), Twilio(US), BICS (Belgium), Monty Mobile (UK), Syniverse (US), Global Message Services (Switzerland), Tyntec(UK), Silverstreet (Singapore),Vonage (US), Genesys (US), TATA Communications(India),Cequens (Egypt),Mitto(Switzerland),ClearSky Technologies (US), Sify Technologies (India), MSG91 (India), Textlocal (UK), Clickatell (US), Kaleyra (Italy), MessageBird (The Netherlands) ","North America, Europe, APAC, MEA, and Latin America","Component(Platform and A2P Service), Deployment Mode (On-premise and Cloud),Application (Authentication Services, Promotional and Marketing Services, Customer Relationship Management Services, Pushed Content Services, Interactive Messages, and Others), SMS Traffic(National and Multi-country), End User (Banking, Financial Services, and Insurance, Retail and eCommerce, Hyperlocal Businesses, Healthcare, Travel and Hospitality, and Others) and Region ","Platform
, A2P Service ","On-premises
, Cloud ","Authentication Services
, Promotional and Marketing Services
, Customer Relationship Management Services
, Pushed Content Services
, Interactive Messages
, Others ","National
, Multi-country ","Banking, Financial Services, and Insurance
, Retail and eCommerce
, Hyperlocal Businesses
, Healthcare
, Travel and Hospitality
, Others ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
US
Canada , 
UK
Germany
Rest of Europe , 
China
India
Rest of APAC , 
GCC Countries
South Africa
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA
49,"Smart Buildings Market by Component (Solution (Safety and Security Management, Energy Management, Building Infrastructure Management, Network Management, IWMS), Services), Building Type (Residential, Commercial, Industrial), Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/smart-building-market-1169.html,USD 66.3 billion,USD 108.9 billion,10.5%,"The vendors covered in the Smart buildings market include 75F (US), ABB (Switzerland), Aquicore (US), Bosch (US), BuildingIQ (US), Cisco (US), CopperTree Analytics (Canada), ENTOUCH (US), Hitachi (Japan), Honeywell (US), Huawei (China), IBM (US), Igor (US), Intel (US), Johnson Controls (Ireland), KMC Controls (US), Legrand (France), Mode:Green (US), PTC (US), Schneider Electric (Germany), Siemens (Germany), Softdel (US), Spaceti (Czechia), Telit (UK), and Verdigris Technologies (US) ","North America, Europe, APAC, Latin America, and MEA ","Component (solutions and Services), building type, and Region ","Solutions
, Services
","Residential
, Commercial
, Industrial ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Building infrastructure Management

Parking Management System
Smart Water Management System
Elevators and Escalators Management System 
Security and Emergency Management

Access Control System
Video Surveillance System
Safety System 
Energy Management

HVAC Control System
Lighting System 
Network Management
IWMS , 
Consulting          
Implementation              
Support and Maintenance ",NA,"
US
Canada, 
UK
Germany
Rest of Europe, 
China
Japan
Australia
Rest of APAC, 
Israel
UAE
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"5G Core Market by Component (Solutions and Services), Network Function (Access and Mobility Management Function, Policy Control Function, Unified Data Management), Deployment Model (Cloud and On-premises), End User, and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/5g-core-market-136573849.html,USD 630 million,"USD 9,497 million",72.0%,"Nokia (Finland), Ericsson (Sweden), Huawei (China), ZTE (China), Samsung (South Korea), Affirmed Networks(US), Mavenir(US), NEC(Japan), Cisco(US), HPE(US), Oracle(US), Athonet(Italy), Casa Systems(US), Cumucore(Finland), Druid Software(Ireland), IPLOOK (China), and Metaswitch(UK). ","North America, Europe, APAC, and RoW ","Component (solutions and services), deployment model, network functions, and end user ","Solutions
, Services ","Professional services
, Managed Services ","AMF
, SMF
, UPF
, PCF
, NEF
, NRF
, UDM
, AUSF
, AF
, NSSF
, Others* ","Telecom operators, Enterprises","Cloud
, On-Premises ","North America, Europe, APAC, RoW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"Agriculture Analytics Market by Application Area (Farm Analytics, Livestock Analytics, and Aquaculture Analytics), Component (Solution and Services), Farm Size (Small, Medium-Sized, and Large), Deployment Type, and Region - Global Forecast to 2025 ",https://www.marketsandmarkets.com/Market-Reports/agriculture-analytics-market-255757945.html,USD 0.8 billion,USD 1.4 billion,12.2%,"The major market players include Deere & Company (US), IBM (US), SAP SE (Germany), Trimble (US), Monsanto (US), Oracle (US), Accenture (Ireland), Iteris (US), Taranis (Israel), Agribotix (US), Agrivi (UK), DTN (US), aWhere (US), Conservis Corporation (US), DeLaval (Sweden), FBN (US), Farmers Edge (US), GEOSYS (US), Granular (US), Gro Intelligence (US), Proagrica (UK), PrecisionHawk (US), RESSON (Canada), Stesalit Systems (India), AgVue Technologies (US), Fasal (India), AGEYE Technologies (US), HelioPas AI (Baden-Württemberg), OneSoil (Belarus), and Root AI (US) (Total 31 companies)","North America, APAC, Europe, MEA and Latin America","Application Area, Component, Farm Size, Deployment Mode, and Region ","Solution
, Services ","Farm analytics
, Livestock analytics
, Aquaculture analytics
, Others (Orchid, Forestry, and Horticulture) ","Large Farms
, Small and Medium-Sized Farms ","Cloud
, On-premises ","In April 2020, IBM released novel AI-powered technologies to help the health and research community accelerate the discovery of medical insights and treatments for COVID-19.
, In April 2020, SAP established COVID-19 Emergency Fund (USD 3.4 million) to support the urgent needs of the World Health Organization (WHO), Centers for Disease Control and Prevention (CDC) Foundation, and smaller nonprofits and social enterprises. These organizations work on the front lines to cater to local communities in crisis. 
, In June 2020 2019, SAP has launched the German government’s Corona Warn App. The app was developed in collaboration between SAP and Deutsche Telekom as well as other partners. It was developed in open-source mode, and the program code was continuously visible to the public on the development platform GitHub.
, In April 2019, Trimble launched a new entry-level Trimble Ag Software subscription called Farmer Core. It enables farmers to connect all aspects of their farm operations.
, In February 2019, Deere & Company announced updates to its 19-1 software to enhance the automation, documentation, functionality, and security of Generation 4 4600. This latest software has a higher level of automation activation, which has enabled the company’s Machine Sync harvest automation functionality on the Gen 4 platform for tractors. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
US
Canada , 
Germany
UK
Rest of Europe , 
Australia and New Zealand (ANZ)
China
Rest of APAC , 
Kingdom of Saudi Arabia (KSA)
South Africa
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Product Information Management (PIM) Market by Component (Solutions and Services), Solution (Multi-mode, and Single-mode), Deployment Type (On-premises and Cloud), Organization Size, Vertical, and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/product-information-management-market-661489.html,USD 9.0 billion,USD 16.0 billion,12.2%,"Oracle (US), SAP (US), IBM (US), Informatica (US), Pimcore (Austria), Akeneo (France), Inriver (Sweden), Winshuttle (US), Riversand (US), Salsify (US), Aprimo (US), Stibo Systems (Denmark), Contentserv (Switzerland), Mobius (India), Perfion (Denmark), Profisee (US), Censhare (Germany), Vinculum (India), Pimworks (US), Truecommerce (US), Vimedici (germany), Magnitude Software (US), Plytix (Denmark) and Syndigo (US).","North America, APAC, Europe, MEA, and Latin America","Component (Solution and Services), Deployment, Organization size Vertical, And Region ","Solution
, Services
","On-premises
, Cloud ","Large Enterprises
, Small and Medium-sized Enterprises ","BFSI
, Consumer goods and retail
, Manufacturing
, IT and telecom
, Transportation and logistics
, Media and entertainment
, Other verticals (include education, and travel and hospitality) ","North America
, Europe
, APAC
, MEA
, Latin America
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Multi-domain
Single Domain , 
Consulting and Implementation
Training, Support and Maintenance ",NA,NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe , 
China
India
Japan
Rest of APAC , 
UAE
KSA
South Africa
Rest of MEA , 
Brazil
Mexico
Argentina
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Influencer Marketing Platform Market by Component, Application (Search and Discovery, Campaign Management, Influencer Relationship Management, and Analytics and Reporting), Organization Size, End User, and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/influencer-marketing-platform-market-294138.html,USD 6.0 billion,USD 24.1 billion,32.0%,"IZEA Worldwide (US), Quotient Technology Inc. (US), Launchmetrics (US), JuliusWorks, Inc. (US), Traackr, Inc. (US), Upfluence Inc. (US), Klear (US), AspireIQ (US), CreatorIQ (US), Mavrck (US), Impact Tech, Inc. (US), Brandwatch (UK), Linqia, Inc. (US), Onalytica (UK), Social Beat Digital Marketing LLP (India), ExpertVoice Inc. (US), Lefty (France), Lumanu Inc. (US), InfluencerDB (Germany), Taggermedia (US), Heepsy (Spain), Fourstarzz Media LLC (US), Juulr B.V. (The Netherlands), Intellifluence (US), Insense Ads, Inc. (US), Talent Village Ltd. (UK), The Room (UK), Blogmint (India), Zine Ltd. (UK), and Captiv8 Inc. (US) ","North America, Europe, APAC, Latin America, and MEA","Component, application, organization size, end user, and region","Solutions
, Services
","Search and discovery, Campaign management, Influencer relationship management, Analytics and reporting , Compliance management and fraud detection , Others (workflow automation and time management, and third-party integration)","Large Enterprises
, Small and Medium-sized Enterprises (SMEs) ","Fashion and lifestyle
, Agencies and PR
, Retail and consumer goods
, Health and wellness
, Ad-tech
, Banking and finance
, Travel and tourism
, Other end users (gaming and pet care) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Consulting
Deployment and Integration
Support and maintenance ",NA,NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe                  , 
China
India
ANZ
Rest of APAC , 
Middle East
Africa , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"High Performance Computing (HPC) Market by Component (Solutions [Servers, Storage, Networking Devices, and Software] and Services), Deployment Type, Organization Size, Server Prices Band, Application Area, and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/Quantum-High-Performance-Computing-Market-631.html,USD 37.8 billion,USD 49.4 billion,5.5%,"AMD (US), Intel (US), HPE (US), IBM (US), Dell (US), Lenovo (China), Fujitsu (Japan), Atos (US), Cisco (US), NVIDIA (US), Sugon (China), AWS (US), and Dassault Systems (France)","North America, APAC, Europe, Latin America, and MEA ","Components (Solutions [Servers, Storage, Networking Devices, Software] and Services[Design and Consulting, Integration and Deployment, Support, Maintenance and Management]), Deployment Type (Cloud and on-premises), Organization Size (SMEs and Large Enterprises), Server Price band, Application areas (government and defense, BFSI, Education and research, manufacturing, healthcare and life sciences, energy and utilities, earth sciences; and others [retail, transportation, travel and hospitality and real estate]), and Region ","Solutions
, Services
","Cloud
, On-premises ","Small and Medium-sized Enterprises (SMEs)
, Large Enterprises ","USD 250,000 to 500,000 and Above
, USD 250,000 to 100,000 and Below ","Government and Defense
, BFSI
, Education and Research
, Manufacturing
, Media and entertainment
, Healthcare and Life Sciences
, Energy and Utilities
, Earth Sciences
, Others (retail, transportation, travel and hospitality and real estate) ","North America
, Europe
, APAC
, MEA
, Latin America
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Servers
Storage
Networking Devices
Software , 
Design and Consulting
Integration and Deployment
Support and Maintenance, and Management ",NA,NA,NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe , 
China
ANZ
Japan
Rest of APAC , 
KSA
South Africa
UAE
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA
55,"3D Mapping and Modeling Market by Component (Software Tools and Services), 3D Mapping Application, 3D Modeling Application, Vertical (Government and Defense, Engineering and Construction, Transportation and Logistics), and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/3d-mapping-market-819.html,USD 3.8 billion,USD 7.6 billion,15.0%,"Autodesk (US), Saab AB (Sweden), Golden Software (US), Trimble (US), Bentley Systems (US), Alphabet (US), Intermap Technologies (US), Airbus (The Netherlands), Esri (US), CyberCity 3D (US), Topcon (Japan), Dassault Systèmes (France), Adobe (US), Pix4D (Switzerland), Pixologic (US), Flight Evolved (US), MAXON (Germany), Onionlab (Spain), The Foundry Visionmongers (UK), Mitsubishi Electric (Japan), Apple (US), WRLD (UK), GeoDigital (US), GeoSLAM (UK), Mapbox (US), DeepMap (US), Civil Maps (US), Hivemapper (US), Ivl5 (US), Shapr3D (Hungary), Innersight (UK), Astrivis (Switzerland), Pointivo (US), and Dynamic Map Platform (Japan) ","North America, Europe, APAC, MEA, and Latin America","Component (Software Tools & Services), Software Tools (3D mapping software and 3D modeling software), Service, 3D Mapping Application, 3D Modeling Application, Deployment Mode, Organization Size, Vertical, and Region ","Software Tools
, Services
","Inspection and Measurement , Object Reconstruction, Projection and Navigation
, Reporting and Virtualization
, Others","Product Marketing, Animation and Movies, Gaming and Designing
, Architectural Rendering
, Others (simulation, sculpting, painting, and visualization","Cloud
, On-premises ","SMEs
, Large Enterprises ","Retail and Consumer Goods
, Engineering and Construction
, Healthcare and Life Sciences
, Transportation and Logistics
, Government and Defence
, Energy and Utilities
, Media and Entertainment
, Manufacturing
, Others (education, agricultural, automotive, and IT and telecom) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
3D Mapping
3D Modeling , 
Professional Services

Consulting
System Integration and Implementation
Support and Maintenance 
Managed Services ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Modular Data Center Market by Solution (All-in-One Modules and Individual Modules), Service (Design and Consulting, Integration and Deployment, Support and Maintenance), Organization Size, Industry, and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/modular-data-centers-market-996.html,USD 18.4 billion,USD 37.8 billion,15.4%,"Dell (US), Vertiv (US), Hewlett Packard Enterprise (US), Huawei Technologies (China), International Business Machines (US), Baselayer Technology (US), Eltek (Norway), Cannon Technologies (UK), Rittal (Germany), BladeRoom (UK), Edge Mission Critical Systems (US), Eaton Corporate (Ireland), Rahi Systems (US), STULZ (Germany), Fiberhome Networks (China), ScaleMatrix (US), Schneider Electric (France), Cupertino Electric (US), KSTAR (China), Asperitas (Netherlands), Shenzhen CONSNANT Technology (China), Retex (Spain), ICTroom Company (Netherlands), Box Modul AB (Sweden), and PCX Corporation (US).","North America, APAC, Europe, Latin America, and MEA ","Application, Rack unit, Organization size, Vertical and Region","Solutions
, Services
","Small and Medium-sized Enterprises
, Large Enterprises ","BFSI
, IT and Telecommunication
, Media and Entertainment
, Healthcare
, Government and Defense
, Retail
, Manufacturing
, Others (Energy, education, and transportation and  logistics) ","North America
, Europe
, APAC
, MEA
, Latin America
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
All-in-one Modules
Individual Modules

IT Module
Power Module
Cooling Module , 
Design and Consulting
Integration and Deployment
Support and Maintenance ",NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe , 
China
Japan
Australia and New Zealand
Rest of APAC , 
KSA (Kingdom of Saudi Arabia)
United Arab Emirates (UAE)
South Africa
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"Enterprise Video Market by Component (Solutions (Webcasting, Video Content Management, Video Conferencing) and Services), Deployment Mode, Application, Delivery Technique, Vertical (BFSI, Healthcare and Life Sciences), and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/enterprise-video-market-1182.html,USD 16.4 billion,USD 25.6 billion,9.3%,"It includes 27 major vendors, namely, IBM (US), Microsoft (US), Cisco (US), Adobe (US), Avaya (US), AWS (US), Poly (US), LogMeIn (US), RingCentral (US), Zoom Video Communications (US), Google (US), Enghouse Systems (Canada), Brightcove (US), Dalet Digital Media Systems (France), Qumu (US), Sonic Foundry (US), ON24 (US), Lifesize (US), Kaltura (US), BlueJeans Network (US), Haivision (Canada), Kollective (US ), INXPO (US), Vidizmo (US), Panopto (US), VBrick (US), and MediaPlatform (US).","North America, Europe, APAC, MEA, and Latin America ","Component, Deployment Mode, Delivery Technique, Application, Vertical, and Region","Solutions
, Services
","Cloud
, On-premises ","Downloading/Traditional Streaming
, Adaptive Streaming
, Progressive Streaming ","Corporate Communications
, Training and Development
, Marketing and Client Management ","Banking, Financial Services, and Insurance (BFSI)
, Information Technology (IT) and Telecom
, Healthcare and Life Sciences
, Education
, Media and Entertainment
, Retail and Consumer Goods
, Others (Transportation and Logistics, Government, and Manufacturing) ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Video Conferencing
Video Content Management
Webcasting , 
Professional Services
Managed Services ",NA,NA,NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe , 
China
Japan
Australia and New Zealand (ANZ)
Rest of APAC , 
Kingdom of Saudi Arabia (KSA)
South Africa
United Arab Emirates (UAE)
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA
58,"IoT in Manufacturing Market by Component (Solutions (Network Management and Data Management) and Services (Professional and Managed)), Deployment Mode, Organization Size, Application, Vertical (Process and Discrete), and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/iot-manufacturing-market-129197408.html,USD 33.2 billion,USD 53.8 billion,10.1%,"Cisco (US), IBM (US), PTC (US), Microsoft (US), General Electric (US), SAP (Germany), Siemens (Germany), Huawei (China), Bosch.IO (Germany), Atos (France), HCL Technologies Limited (HCL), Intel (US), Oracle (US), Schneider Electric (France), Zebra Technologies (US), Software AG (Germany), Telit (UK), Wind River (US), ClearBlade (US), Litmus Automation (US), Uptake (US), HQSoftware (Estonia), ScienceSoft ( US), Mocana (US), and Impinj (US).","North America, Europe, APAC, Latin America, and MEA","Component, Solutions, Services, Deployment Mode, Organization Size, Application, Vertical and Regions.","Solutions
, Services ","Network Management
, Data Management
, Device Management
, Application Management
, Smart Surveillance ","Professional Services
, Managed Services
","Cloud
, On-premises ","SMEs
, Large Enterprises ","Predictive Maintenance
, Business Process Optimization/Workflow optimization
, Asset Tracking and Management
, Logistics and Supply Chain Management
, Real-time Workforce Tracking and Management
, Automation Control and Management
, Emergency & Incident management, and Business Communication ","Process Manufacturing
, Discrete Manufacturing ","In October 2020, Cisco launched Cisco launched new IoT Sensor Solutions to help businesses simplify data visibility and increase safety and efficiency. The new solution helps businesses simplify asset and facility monitoring across their organizations, from indoor IT closets to outdoor Operation Technology (OT) spaces at scale. The two new solutions include Meraki MT sensors that monitor indoor environments and IT infrastructure and Industrial Asset Vision sensors that monitor OT assets and facilities in outdoor and industrial indoor spaces.
, In Febuary 2020, Cisco announced advancements to its IoT portfolio that enable service provider partners to offer optimized management of cellular IoT environments and new 5G use cases. The new wireless technologies, such as 5G and Wi-Fi 6, will lead to more devices and new advanced , In October 2020, IBM and ClearBlade, an industrial IoT platform and edge computing software company, announced their plan to collaborate for delivering Edge IoT asset monitoring for near-real-time asset management.
, In November 2019, IBM launched Maximo Asset Monitor, a new AI-powered monitoring solution designed to help maintenance and operations leaders better understand and improve the performance of their high-value physical assets.
, In June 2020, PTC will release the latest version of its ThingWorx Industrial IoT platform. The new version ThingWorx 9.0 will deliver new and expanded features to help industrial companies create, implement, customize, and scale their solutions. The new version will deliver advances in several core development areas and introduce several new features and capabilities, such as enhanced scalability and availability, accelerated application and solution enablement, and analytics advancements.
, In October 2020, Microsoft and ZEISS, a leading technology enterprise operating in the fields of optics and optoelectronics, partnered for better patient care through data-driven healthcare and to enhance quality and efficiency in manufacturing. By leveraging Azure high-performance compute, AI, and IoT services, ZEISS will work with Microsoft to provide OEMs with new quality management solutions, enable microchip manufacturers to build more powerful, energy-efficient microchips, and deliver new digital healthcare solutions for improved clinical workflows, enhanced treatments, and device maintenance. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
IoT Consulting Services 

Technology Consulting Services
Business Consulting Services
Operational Consulting Services 
IoT Infrastructure Services

Network Services
Deployment Services
Cloud Services 
System Designing and Integration Services 

Platform Development and Integration
Mobile and Web Application Development 
Support and Maintenance Services 
Education and Training Services , 
Infrastructure Management
Security Management
Network Management
Data Management
Device Management ",NA,NA,NA,NA,"
US
Canada, 
UK
Germany
Rest of Europe, 
China
Japan
India
Rest of APAC, 
Brazil
Mexico
Rest of Latin America , 
KSA
UAE
Rest of Middle East Africa",NA,NA,NA,NA,NA,NA
59,"Threat Intelligence Market by Application (SIEM, Security Analytics, Security and Vulnerability Management, Risk and Compliance Management, Incident Response), Deployment Mode, Organization Size, Vertical, and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/threat-intelligence-security-market-150715995.html,USD 10.9 billion,USD 16.1 billion,8.2%,NA,"North America, Europe, APAC, MEA, and Latin America.","Application, Deployment Mode, Organization Size, Vertical, and Regions.","SIEM
, Security Analytics
, Security and Vulnerability management
, Risk and Complaince
, Incident Response
, Others* ","Cloud
, On-premises ","Large Enterprises
, SMEs ","Information
, Finance and Insurance
, Healthcare and Social Assistance
, Retail Trade
, Manufacturing
, Other verticals** ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
United States (US)
Canada, 
Germany
Denmark
Sweden
Rest of Europe (UK, Netherlands, and Switzerland), 
Australia
South Korea
Rest of APAC (India, Japan, and Singapore), 
Middle East
Africa , 
Brazil
Mexico
Rest of Latin America (Argentina, Colombia, and Chile) ",NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"Green Technology and Sustainability Market by Technology (IoT, AI & Analytics, Digital Twin, Cloud Computing), Application (Green Building, Carbon Footprint Management, Weather Monitoring & Forecasting), Component, and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/green-technology-and-sustainability-market-224421448.html,USD 11.2 billion,USD 36.6 billion,26.6%,"GE (US), IBM (US), Enablon (France), Salesforce (US), Microsoft (US), Schneider Electric (France), Engie Impact (US), Intelex (Canada), Enviance (US), Sensus (US), LO3 Energy (US), Isometrix (South Africa), Taranis (Israel), Trace Genomics (US), ConsenSys (US), CropX (Israel), Hortau (US), IOT Solutions and Consulting (Europe), Pycno (UK), MineSense Technologies (Canada), WINT (US), OIZOM (India), Treevia (Latin America), SMAP Energy (UK), and Accuvio (Ireland). ","North America, Europe, APAC, Latin America, and MEA","Component, technology, application, and region","Solution
, Services
","IoT
, AI and analytics
, Digital twin
, Cloud computing
, Security
, Blockchain ","Carbon footprint management
, Green building
, Water purification
, Water leak detection
, Fire detection
, Soil condition/moisture monitoring
, Crop monitoring
, Forest monitoring
, Weather monitoring and forecasting
, Air and water pollution monitoring
, Sustainable mining and exploration ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Consulting
Integration and deployment
Support and maintenance ",NA,NA,"
US
Canada , 
Germany
UK
France
Rest of Europe                     , 
China
Singapore
India
Rest of APAC , 
Middle East
Africa , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"Cloud ITSM Market by Components ( Solutions (Service Portfolio Management, Configuration & Change Management, Service Desk Software) And Services), Vertical (BFSI, IT & ITeS, Retail & Consumer Goods), Organization Size, and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/cloud-based-itsm-market-261087410.html,USD 4.7 billion,USD 12.2 billion,21.2%,"ServiceNow (US), BMC Software (US), Cherwell Software (US), Broadcom (US), Ivanti (US), HPE (US), IBM (US), Axios Systems (US), Citrix Systems (US), Hornbill (UK), Microsoft (US), EasyVista (US), Micro Focus (UK), Atlassian (Australia), Alemba (UK), SysAid (Israel), Freshworks (US), LogMeIn (US), ManageEngine (US), Efecte (Finland), EZOfficeInventory (US), Mint Service Desk (Poland), Device42 (US), LeanIX (Germany), Aisera (US), ITSM (Australia), Electric (US), InfraSight Labs (Sweden), Symphony SummitAI (US), and ITarian (US).. ","North America, Europe, APAC, MEA, and Latin America","Component (solutions and services), Solutions, Organization Size, Verticals, and Regions","Solutions
, Services ","Service portfolio management
, Configuration and change management
, Service desk software
, Operations and performance management
, Dashboard, reporting, and analytics ","Small and Medium-sized Enterprises (SMEs)
, Large Enterprises","Banking, Financial Services, and Insurance (BFSI)
, Telecommunications
, IT and ITeS
, Government and Public Sector
, Retail and Consumer Goods
, Manufacturing
, Energy and Utilities
, Media and Entertainment
, Healthcare and Life Sciences
, Others (education, travel and hospitality, and transportation and logistics) ","North America
, Europe
, APAC
, MEA
, Latin America
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
US
Canada , 
UK
Germany
France
Rest of Europe , 
China
Japan
Australia
Rest of APAC , 
Saudi Arabia
UAE
South Africa
Rest of MEA , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"Smart Space Market by Component (Solutions and Services (professional & managed)), Application (Energy Optimization and Management, Emergency Management, & Security Management), Premises Type (Commercial, Residential), and Region - Global Forecast to 2025",https://www.marketsandmarkets.com/Market-Reports/smart-space-market-252626748.html,USD 9.4 billion,USD 15.3 billion,10.2%,NA,"North America, Europe, APAC, Middle East and Africa, and Latin America.","Component, Application, Premises Type, and Region.","Solutions
, Services
","Energy Management and Optimization
, Emergency Management
, Security Management
, Others ","Commercial
, Residential
, Others ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"
Managed Services
Professional Services

Support and Maintenance
Deployment and Integration
Consulting ",NA,NA,"
United States (US)
Canada, 
United Kingdom (UK)
France
Germany
Spain
Rest of Europe (EU and Non-EU countries), 
China
India
Singapore
Japan
Rest of APAC (Indonesia, Taiwan, and South Korea), 
Middle East
Africa , 
Brazil
Mexico
Rest of Latin America ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
